n_kmeans,n_agglomerative,silhouette_score
1,2,0.1439211268591743
1,3,0.1987231980229082
1,4,0.24039405175552192
1,5,0.2633438027051434
1,6,0.2757972714754765
1,7,0.2855378327425936
1,8,0.29605903112722204
1,9,0.29933415774454475
1,10,0.30188909204508635
1,11,0.3176179037077066
1,12,0.32159740758113253
1,13,0.3250123261158586
1,14,0.3316355642224626
1,15,0.3346848289997301
1,16,0.33731752670943577
1,17,0.3414131784862802
1,18,0.34465904984935464
1,19,0.34955282381002084
1,20,0.3133492613482875
1,21,0.32040546183162183
1,22,0.2944686551512253
1,23,0.29500912135671303
1,24,0.2970600809246424
1,25,0.29883269930449796
1,26,0.303480373841273
1,27,0.3046151270528324
1,28,0.3128526790718735
1,29,0.3242180451875463
1,30,0.32537893217653874
1,31,0.32668880640381004
1,32,0.33361934412350447
1,33,0.3254171383378804
1,34,0.32811424583527493
1,35,0.3310896154257542
1,36,0.3335182107633219
1,37,0.3281181060358846
1,38,0.3297463900059462
1,39,0.33309414833259343
1,40,0.3294553605866985
1,41,0.33192550574429486
1,42,0.33483702875279875
1,43,0.337096727859496
1,44,0.33988933145717315
1,45,0.3419689503769087
1,46,0.34311455728406637
1,47,0.3437262124413035
1,48,0.34451069685045665
1,49,0.3454486889855039
1,50,0.34736836125664317
2,1,0.22008376520123152
2,2,0.21754415919888875
2,3,0.2460100284677169
2,4,0.2677202676184137
2,5,0.249836436015307
2,6,0.2637921981940362
2,7,0.2872651152532747
2,8,0.29441864452099814
2,9,0.30872208634397236
2,10,0.31499597150764463
2,11,0.31382073390731113
2,12,0.31798801113087954
2,13,0.3246502486400142
2,14,0.32754398857579897
2,15,0.32980148517938884
2,16,0.3045464012594945
2,17,0.30908959285310816
2,18,0.31097592869364715
2,19,0.3133844120662546
2,20,0.32611344160074907
2,21,0.32976226461209224
2,22,0.333194935226425
2,23,0.33609626223675054
2,24,0.34009443731891725
2,25,0.34154762149621526
2,26,0.3334842603536787
2,27,0.32782082835905896
2,28,0.3290671876828164
2,29,0.32843360250563264
2,30,0.3316894430336647
